,mistralai/Mistral-7B-v0.1,NousResearch/Genstruct-7B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-7b-hf,google/gemma-7b-it,google/gemma-2b-it,bert-base-uncased
1,0.4117156489490489,0.5259071282263286,0.4088977209493226,0.40022957332651404,0.7603662379183411,0.6735835254679319,0.8015301404533044
2,0.5438030160099361,0.6837982905361978,0.5353913687941564,0.5277644344882086,0.8856086221743537,0.8000609143118494,0.8671578502250077
3,0.6159629760396319,0.734258322415152,0.5915491342431944,0.5991213460727344,0.9272672708894045,0.8677605940309021,0.8978555011283748
4,0.649657388509437,0.7749869698949261,0.6497633138867231,0.6502071425933703,0.9477168010017482,0.8920855564787125,0.907370961041719
5,0.689999903051753,0.8111517799592215,0.6766149581723594,0.673369580659208,0.9588581872712664,0.9142457092053107,0.9140277703739372
6,0.7046578696996614,0.8275371367134358,0.7017206946930493,0.6974186869059421,0.9702423242360386,0.924888584353128,0.9242344255819384
7,0.7375037894236229,0.846648844155335,0.7156764548801969,0.7178263948805074,0.974452245255343,0.9367592018937999,0.9301275540178172
8,0.7545519784080946,0.8560472147327148,0.7369228693323296,0.7347311541730152,0.9772975984020243,0.9397077327685516,0.9363915937645045
9,0.7663711964704998,0.8682069461478432,0.7470268033769613,0.7393933459113041,0.980897036679553,0.9491354502722563,0.9375005351969364
10,0.774902232160123,0.8754685571029452,0.7597087748955792,0.7461681540148788,0.9815525738775567,0.9547551768638993,0.9387144219170952
11,0.7822485439714209,0.8768721669293078,0.7773015366747137,0.7692198876431007,0.9827757192885069,0.9584449139738341,0.9427386251445837
12,0.7947094844310592,0.8868371053640403,0.7766767623388083,0.7807967308593063,0.985026227374185,0.9611266587594313,0.9455970445586215
13,0.7999698695326746,0.8967225962535863,0.7950370249852992,0.7878962822759156,0.9872382672959165,0.9635808531150309,0.9498413029518176
14,0.8082172422931703,0.8988320236211704,0.7919885499773848,0.7865697515707628,0.9882271717214732,0.9698272039133466,0.9494040951645412
15,0.8124653197643656,0.9051606595450808,0.8059413496361766,0.8044648035997588,0.9882163151865074,0.9703358322944965,0.9529604196172845
16,0.8249404061127238,0.9056227735328608,0.8096302550492259,0.8069376744779339,0.9911367050442466,0.9719586281468533,0.9542366982856167
17,0.8345274835472228,0.9060029980806965,0.8132195575415465,0.8158972320417295,0.991230159960095,0.9712143552022495,0.9554377138166246
18,0.8336663965051141,0.9152705550473159,0.8205500637054364,0.8139470715803143,0.991235396463507,0.9758529324675956,0.9557677225703117
19,0.8369045721629753,0.9182287283695135,0.8176915164940665,0.8188387252043845,0.9930287025993628,0.9741062545167841,0.9560134471143882
20,0.8399514886667427,0.9198847121637364,0.8243965139199579,0.8201851256446888,0.9925719800846909,0.9749869573069906,0.9581375563501894
21,0.8434757247420778,0.9230483968570184,0.8249629707947251,0.8318312928577362,0.9933212979694401,0.9774004302282865,0.9591161662467561
22,0.8554049815087323,0.9258392730962381,0.836000158628126,0.8310679877448189,0.993482157785555,0.9786478398369253,0.9590966548070818
23,0.855959173449351,0.9297091932628077,0.8437250459430103,0.8345009340428935,0.9932054048283334,0.9787472966741761,0.9612412249060067
24,0.8566627179117513,0.9247397636397627,0.845716764954524,0.8437349146229617,0.9934790365765741,0.9785213410843913,0.96138302590632
25,0.8557942215588177,0.9296148865042708,0.8465658439807654,0.8430548601113133,0.9933393981830889,0.9789951231821564,0.9626302125956104
